ccid,name,sex,age,channel_id,mobile,province,city,id
CU17021615428079,岑小姐,女,46,100000009,18993657412,广东省,密云区,51342819880926121X
CU17019532649780,窦小姐,女,51,100000006,15252947631,陕西省,双辽市,330482199310021482
CU17012967028354,赵先生,男,54,100000003,15348231097,上海市,铁岭市,210701195010162799
CU17016613094875,谢先生,男,39,100000000,13225981073,河北省,阳高县,140823193407261775
CU17020138907426,吴小姐,女,51,100000000,17103945618,黑龙江省,潞城市,53042219341015287X
CU17014471092835,柳女士,女,59,100000002,17552397168,西藏自治区,南票区,340811198508292022
CU17025537849021,马女士,女,56,100000008,18072685041,北京市,晋源区,330206200602221842
CU17014130257496,喻女士,女,60,100000008,18974502196,宁夏回族自治区,怀来县,52272719471025157X
CU17013092345176,堪女士,女,27,100000004,18872518093,广西壮族自治区,延庆区,54252219521001151X
CU17019936758214,孟女士,女,35,100000009,15865291347,安徽省,建昌县,222404195907221809
CU17027967421058,毕小姐,女,28,100000000,13282013674,宁夏回族自治区,鄂托克前旗,230203197601241169
CU17016215473690,米先生,男,28,100000002,15268013479,黑龙江省,城区,140303194312112825
CU17026836297105,雷小姐,女,42,100000001,13701498325,江西省,泽州县,440701196311152126
CU17026984130527,魏女士,女,56,100000006,18917295346,河南省,振安区,640303194403111553
CU17027615029347,计先生,男,21,100000003,18090863175,吉林省,铁西区,652922194507211573
CU17018731508294,廉女士,女,47,100000006,13989574301,澳门特别行政区,沁县,610112198502221713
CU17016410562739,窦先生,男,24,100000006,15052786139,澳门特别行政区,元氏县,53082219350821221X
CU17013548219073,水先生,男,36,100000006,18275143260,四川省,洮南市,141021198110311355
CU17017462850719,余小姐,女,31,100000007,15136870529,云南省,大同区,53011119451202128X
CU17011186723950,宋女士,女,21,100000002,18759163720,天津市,吉林市,210111194106252829
CU17016932105764,黄先生,男,32,100000003,13243987520,青海省,邯郸市,130425193405222515
CU17013190725346,秦小姐,女,21,100000005,18706248719,重庆市,康平县,140902193304281545
CU17023078451639,项小姐,女,57,100000003,14719846537,西藏自治区,西安区,421127198607052696
CU17021934621078,彭先生,男,31,100000000,15260374298,甘肃省,东胜区,450108201010262996
CU17028249371860,明小姐,女,56,100000009,15840732516,湖南省,滴道区,50024319940418200X
CU17022928714603,柏先生,男,56,100000008,13186412503,山西省,盘山县,53060219580616166X
CU17026536927841,马女士,女,32,100000001,15383590642,安徽省,元宝山区,140303200910161095
CU17024814607592,齐先生,男,23,100000005,15081720649,西藏自治区,临汾市,451423195406291396
CU17023031842976,褚先生,男,46,100000005,17536017258,河南省,东昌区,630122193906161183
CU17011657821490,张小姐,女,39,100000001,18796370185,山东省,大同区,130733195209232075
CU17023539748106,施女士,女,56,100000001,18070384621,湖北省,铁力市,441323196003161666
CU17019236140587,康女士,女,43,100000009,17150263197,浙江省,门头沟区,411701195102052226
CU17028497035816,舒小姐,女,36,100000002,17996754302,河南省,乡宁县,230406199911011709
CU17024837096251,水先生,男,23,100000005,13765938247,江苏省,东港市,469022194302162936
CU17027159730426,舒先生,男,29,100000005,18414762539,北京市,恒山区,52262719960529124X
CU17023730129846,窦先生,男,45,100000006,17570841532,北京市,杏花岭区,620621196709142263
CU17026781425390,潘小姐,女,41,100000005,17895083427,辽宁省,石家庄市,120225195508092375
CU17015847539120,明女士,女,57,100000009,14758472130,湖南省,浑江区,621025201011121853
CU17025672903854,何女士,女,36,100000005,15330956714,甘肃省,鞍山市,321012196608151332
CU17026475806321,余小姐,女,54,100000004,13419628037,青海省,大东区,320481195901191532
CU17020659284031,汤先生,男,40,100000001,15610687359,山东省,饶河县,370203193707081222
CU17018105642937,于先生,男,50,100000007,15250698724,甘肃省,交城县,440304195412161426
CU17021627194830,茅女士,女,59,100000007,17454029613,湖南省,蛟河市,350481197703262372
CU17017396710482,平小姐,女,52,100000009,15575921638,上海市,介休市,50023019750424207X
CU17028723905146,昌先生,男,58,100000008,18891326840,内蒙古自治区,矿区,52232220001101130X
CU17025914580672,罗女士,女,52,100000002,13596751238,江西省,阜新蒙古族自治县,50010919540625130X
CU17011465932018,谈先生,男,43,100000008,15784523091,湖北省,额尔古纳市,410928200104041036
CU17018093214568,成女士,女,42,100000004,15952487609,福建省,宁江区,450801194710152246
CU17017348172095,于小姐,女,54,100000009,18608431765,湖南省,保德县,150525197805062685
CU17024246108579,钱小姐,女,42,100000008,17506148953,安徽省,井陉县,341024200606071362
CU17014731825904,孔女士,女,21,100000006,18824798510,福建省,依安县,610402200801282853
CU17014428196537,水女士,女,41,100000009,18879814026,湖南省,集贤县,410928199109051576
CU17016690247351,项先生,男,59,100000007,18889407652,山西省,大厂回族自治县,51332220060608120X
CU17022637912584,和小姐,女,24,100000003,18793801426,新疆维吾尔自治区,呼兰区,150521194907271315
CU17024724106983,姚女士,女,53,100000000,15775382694,上海市,义县,51160119470104259X
CU17028497205316,张女士,女,29,100000007,13104681572,福建省,红桥区,330782195902142542
CU17013869342751,许先生,男,26,100000007,13538102476,江苏省,裕华区,152501193111232265
CU17027384795602,冯女士,女,40,100000000,18202394871,湖南省,新荣区,140123199510272225
CU17020749825061,金小姐,女,36,100000009,18325103649,重庆市,伊通满族自治县,621124199404022983
CU17021390418657,廉女士,女,36,100000005,18857906321,重庆市,克东县,140222200408302335
CU17012078923516,常先生,男,44,100000007,18887496215,青海省,西青区,51140119400805286X
CU17026829065417,倪先生,男,48,100000001,18649052137,山西省,忻府区,130401198105092595
CU17016973150482,伏小姐,女,27,100000005,17698217634,新疆维吾尔自治区,矿区,222403195210231769
CU17016904316782,施女士,女,44,100000009,17929613754,辽宁省,义县,54242920000209218X
CU17018538941062,殷女士,女,48,100000001,15283450296,海南省,威县,420921197309211606
CU17017713985024,沈先生,男,35,100000009,13005369418,江苏省,蓟州区,51332719470606163X
CU17012957820341,陈先生,男,22,100000009,13534820961,宁夏回族自治区,昌平区,460105201012191046
CU17021734859602,尹女士,女,29,100000001,17390213685,江西省,蛟河市,320114197902191652
CU17018536470281,萧先生,男,58,100000003,15357936420,云南省,蔚县,371083197403032762
CU17024804693157,邵先生,男,43,100000005,18624816390,青海省,集宁区,450327197807222446
CU17015906534718,祁小姐,女,20,100000008,13108591637,湖北省,九台区,420201194604232546
CU17028364097582,柏女士,女,31,100000008,15330298167,四川省,平乡县,610102200603221733
