id,name,sex,age,channel_id,mobile,province,city
CU17020053812649,臧先生,男,35,100000002,18795146087,陕西省,四平市
CU17020913564782,花女士,女,25,100000003,17982156907,青海省,溪湖区
CU17021769534812,屈先生,男,59,100000004,18720167358,新疆维吾尔自治区,清河县
CU17026027143856,鲁女士,女,33,100000008,13395602378,新疆维吾尔自治区,涞水县
CU17020019362475,廉先生,男,46,100000000,15736029758,澳门特别行政区,船营区
CU17012145092386,顾小姐,女,32,100000006,18749150867,湖南省,交口县
CU17026348690172,柏女士,女,38,100000009,13338614925,香港特别行政区,九台区
CU17015483961720,傅先生,男,59,100000002,15891524873,福建省,法库县
CU17027062841357,张小姐,女,28,100000006,18589730564,重庆市,苏尼特右旗
CU17011038249517,纪小姐,女,49,100000002,18983705462,台湾省,乡宁县
CU17024786920431,薛先生,男,43,100000007,15118957436,辽宁省,翼城县
CU17027567140839,姜女士,女,54,100000003,13891274586,江西省,蠡县
CU17013403258971,任小姐,女,54,100000000,14728753094,西藏自治区,辛集市
CU17014624381097,吴先生,男,40,100000000,18189043567,甘肃省,房山区
CU17023853024197,汤小姐,女,60,100000008,13029687143,广西壮族自治区,铁岭县
CU17011619850342,卫先生,男,41,100000008,13737619408,甘肃省,桦川县
CU17021264831759,鲁女士,女,48,100000000,13375964180,青海省,矿区
CU17024452317980,元先生,男,34,100000002,13948216093,山西省,南和县
CU17017246157390,贝小姐,女,37,100000002,18815309462,澳门特别行政区,桓仁满族自治县
CU17016819430726,何小姐,女,52,100000001,18093461807,广西壮族自治区,新抚区
CU17013852374091,施女士,女,40,100000006,18791287346,江苏省,盐山县
CU17020768053942,韦小姐,女,55,100000000,18073851069,湖南省,蒲县
CU17020234061978,袁女士,女,28,100000000,15810347825,台湾省,博野县
CU17028963087215,葛先生,男,58,100000000,17594823106,甘肃省,建平县
CU17019641803527,章小姐,女,48,100000005,18510487369,浙江省,鹤岗市
CU17012926780543,严小姐,女,37,100000003,18941237089,江西省,镶黄旗
CU17014759432806,卫小姐,女,50,100000005,13052981630,重庆市,双台子区
CU17014403198572,常小姐,女,27,100000008,18575048612,海南省,邢台市
CU17011260974385,卫小姐,女,31,100000007,17538074251,江西省,鸡西市
CU17015394657082,褚女士,女,56,100000009,18053076182,上海市,蛟河市
CU17015637218045,褚小姐,女,45,100000006,18686204379,宁夏回族自治区,广阳区
CU17014504387192,谈小姐,女,45,100000009,17861530942,香港特别行政区,二道江区
CU17014839045176,潘先生,男,30,100000002,18861794230,上海市,榆树市
CU17026835149206,张小姐,女,34,100000002,18804756281,台湾省,翠峦区
CU17012847193260,冯女士,女,27,100000006,13689123607,吉林省,汾西县
CU17027861093742,孔女士,女,44,100000005,18505461372,重庆市,清徐县
CU17022257614980,张先生,男,57,100000004,15647632910,江西省,于洪区
CU17014921476308,项小姐,女,58,100000007,17131029864,宁夏回族自治区,吉林省
CU17022602451983,狄先生,男,22,100000002,17648709521,西藏自治区,桥东区
CU17023065349782,柏小姐,女,37,100000002,17601638549,香港特别行政区,武安市
CU17024584096172,邵小姐,女,52,100000008,18979304256,青海省,沙河口区
CU17016537908412,廉先生,男,57,100000008,18590457132,江西省,科尔沁左翼中旗
CU17025618403725,方先生,男,27,100000005,18796321405,河北省,和龙市
CU17011358410729,魏先生,男,26,100000001,13726103784,西藏自治区,义县
CU17019917465208,倪先生,男,20,100000006,18479236581,内蒙古自治区,保德县
CU17011708613945,吴小姐,女,38,100000008,13139586410,青海省,翁牛特旗
CU17026289436105,滕先生,男,35,100000008,14736917524,山东省,长治县
CU17024950786134,殷小姐,女,42,100000009,18378592436,青海省,额尔古纳市
CU17021182364709,云小姐,女,43,100000005,17451968047,宁夏回族自治区,怀柔区
CU17026129765048,和女士,女,21,100000000,18021934876,香港特别行政区,东山区
CU17014034689271,齐小姐,女,40,100000007,15667034895,江苏省,阿尔山市
CU17012541637902,舒女士,女,47,100000004,13508349517,四川省,桦甸市
CU17016389025746,齐先生,男,22,100000002,13318392640,台湾省,盐山县
CU17028260375841,吴先生,男,20,100000006,18920859761,云南省,集宁区
CU17012643075928,皮女士,女,37,100000004,13693476812,广东省,呼兰区
CU17017659374012,岑小姐,女,21,100000001,18372054931,甘肃省,科尔沁右翼前旗
CU17014352974018,任女士,女,22,100000003,17861093872,澳门特别行政区,巴彦县
CU17020426107935,喻小姐,女,59,100000007,17149806573,上海市,本溪满族自治县
CU17015541926387,酆小姐,女,21,100000009,17763097815,甘肃省,回民区
CU17014029146378,雷小姐,女,24,100000003,13042795306,河南省,平山区
CU17017563078429,云女士,女,42,100000009,17796854072,广西壮族自治区,蒲县
CU17028534967180,汤小姐,女,23,100000002,18139874560,四川省,建昌县
CU17019970438621,史先生,男,39,100000008,18081205643,江苏省,安图县
CU17019793258614,苏小姐,女,38,100000004,18506391524,吉林省,沧县
CU17021730529846,祝女士,女,53,100000004,17858437012,湖北省,蒲县
CU17012752910648,窦小姐,女,58,100000002,18572395804,江西省,奈曼旗
CU17016019582734,魏小姐,女,33,100000008,13623594178,西藏自治区,丰台区
CU17025174290365,吕女士,女,60,100000003,15164753021,湖南省,兴安区
CU17018843910257,华先生,男,43,100000001,13357321069,澳门特别行政区,顺城区
CU17016796251438,郎小姐,女,28,100000005,14741203956,香港特别行政区,通化县
CU17017647109258,薛小姐,女,30,100000006,18521647850,江西省,沁源县
CU17021205461983,臧小姐,女,22,100000000,15793407852,湖北省,多伦县
CU17025809521764,郎小姐,女,49,100000004,18584259031,江苏省,武川县
CU17015542089376,秦先生,男,37,100000002,18013685470,黑龙江省,梅河口市
CU17018658104927,邬女士,女,56,100000009,18787910246,甘肃省,三河市
CU17023521964078,平女士,女,40,100000001,18259283017,河北省,石楼县
CU17013754092836,韩小姐,女,28,100000002,15569012835,安徽省,库伦旗
CU17018854912760,苏先生,男,29,100000000,18725394687,四川省,磐石市
CU17022935867204,汪女士,女,51,100000003,18230418975,浙江省,大厂回族自治县
CU17011518926374,顾女士,女,33,100000007,15139420568,吉林省,二道江区
CU17021675408239,冯小姐,女,46,100000005,17310586392,湖北省,清原满族自治县
CU17028670184932,明女士,女,30,100000003,15159604813,贵州省,昂昂溪区
CU17011096341582,曹小姐,女,27,100000002,18896058417,香港特别行政区,曲沃县
CU17025785609142,马先生,男,40,100000004,13763187452,福建省,林甸县
CU17018802536471,蒋小姐,女,42,100000005,18516093748,浙江省,安平县
CU17027670853249,严先生,男,43,100000001,15875083619,青海省,大厂回族自治县
CU17021498615703,狄女士,女,37,100000003,18718734062,内蒙古自治区,海南区
CU17014439251076,项小姐,女,45,100000003,18918759036,陕西省,丰南区
CU17015405316928,安女士,女,20,100000009,18918729053,贵州省,莲池区
CU17027791385426,周先生,男,56,100000001,17718564392,吉林省,虎林市
CU17014058729643,顾小姐,女,49,100000003,18859073421,台湾省,饶河县
