id,name,sex,age,channel_id,mobile,province,city
CU17014714590328,陈先生,男,42,100000003,17191208357,天津市,于洪区
CU17011583761429,冯女士,女,23,100000006,13438240561,新疆维吾尔自治区,石拐区
CU17011742518063,米先生,男,30,100000002,18660514287,北京市,肥乡区
CU17027172965803,苗小姐,女,37,100000003,17964910387,广东省,伊金霍洛旗
CU17025418723690,傅先生,男,51,100000009,17242109576,吉林省,溪湖区
CU17019309271645,余女士,女,46,100000004,14783610479,甘肃省,平房区
CU17019401732985,顾小姐,女,27,100000005,18391834056,山西省,东丽区
CU17028516308479,苗先生,男,52,100000004,18454862917,天津市,阜新市
CU17028860357492,史女士,女,49,100000007,17201635784,山西省,东乌珠穆沁旗
CU17019320745619,秦小姐,女,60,100000008,18336107592,广西壮族自治区,北镇市
CU17019179480653,卜女士,女,44,100000007,18541763958,香港特别行政区,绿园区
CU17019485012693,殷女士,女,44,100000006,18436081294,新疆维吾尔自治区,额尔古纳市
CU17028471963802,陶女士,女,37,100000005,15623904761,甘肃省,榆次区
CU17019604583129,陈先生,男,23,100000003,13041529873,贵州省,丰南区
CU17021731586420,殷小姐,女,45,100000001,15574306529,河南省,方正县
CU17023039452176,戴小姐,女,34,100000005,18035892064,新疆维吾尔自治区,山海关区
CU17028716930248,范小姐,女,56,100000009,18787104952,河北省,泊头市
CU17021201963458,倪先生,男,20,100000000,17594872653,吉林省,长治市
CU17027312540896,雷小姐,女,26,100000009,15026740958,四川省,馆陶县
CU17026523814079,潘小姐,女,23,100000006,18218524730,广东省,龙潭区
CU17018853290614,屈先生,男,37,100000002,18861483792,新疆维吾尔自治区,门头沟区
CU17016370695812,钱女士,女,43,100000003,13705861432,青海省,北京市
CU17016547068231,汤小姐,女,39,100000003,18067812354,宁夏回族自治区,下花园区
CU17013491256730,褚小姐,女,39,100000004,13589127643,吉林省,讷河市
CU17018465098273,秦女士,女,37,100000008,18676312095,山西省,扎鲁特旗
CU17024064379128,彭先生,男,48,100000003,18665481209,云南省,宁晋县
CU17025902451876,金小姐,女,56,100000009,18795732861,宁夏回族自治区,巨鹿县
CU17011305468291,茅女士,女,58,100000000,17306728953,宁夏回族自治区,土默特右旗
CU17016245731680,秦先生,男,34,100000003,18618473509,天津市,泊头市
CU17019682490173,金女士,女,55,100000001,18809831756,湖北省,无极县
CU17024324865190,元先生,男,36,100000002,18369027354,广西壮族自治区,船营区
CU17025261743859,尹小姐,女,40,100000007,15336105724,香港特别行政区,苏尼特右旗
CU17013896210357,许先生,男,56,100000000,17753914627,山东省,霍州市
CU17020195628703,禹女士,女,41,100000004,15167241359,内蒙古自治区,白云鄂博矿区
CU17012742013986,昌先生,男,31,100000001,18016740258,河北省,于洪区
CU17012621748930,苗女士,女,22,100000007,15213584976,西藏自治区,建平县
CU17015952714360,尹女士,女,46,100000003,13943057826,江西省,定州市
CU17028752861094,舒女士,女,21,100000003,15631069582,北京市,金州区
CU17018523148076,俞女士,女,26,100000005,17858430921,吉林省,南关区
CU17028706395128,许先生,男,50,100000008,18267459081,甘肃省,铁西区
CU17028410273596,尹女士,女,45,100000000,15292376015,黑龙江省,井陉矿区
CU17011742059138,岑女士,女,24,100000002,13295731402,香港特别行政区,蠡县
CU17027049721386,章女士,女,26,100000005,13004895321,新疆维吾尔自治区,鄂托克旗
CU17025416530278,余先生,男,43,100000002,15082715043,内蒙古自治区,嘉荫县
CU17026359674018,卫女士,女,34,100000003,18839765284,广东省,清原满族自治县
CU17026179654283,凤女士,女,35,100000003,18335790842,香港特别行政区,永济市
CU17023740981362,元小姐,女,36,100000003,18753817092,安徽省,遵化市
CU17019648317950,宋女士,女,38,100000003,18532650817,新疆维吾尔自治区,东乌珠穆沁旗
CU17022732869054,严女士,女,35,100000006,18202795468,重庆市,黎城县
CU17020523894610,谈先生,男,51,100000009,17465079814,内蒙古自治区,南宫市
CU17011401572368,庞先生,男,39,100000007,18913508974,云南省,灵石县
CU17027396802754,王小姐,女,45,100000003,15797013826,河北省,宁城县
CU17016173895406,顾先生,男,60,100000005,18339807614,青海省,新宾满族自治县
CU17017043176582,酆小姐,女,59,100000003,13149528137,重庆市,顺城区
CU17025245637891,戴女士,女,59,100000006,15337924581,湖南省,阿城区
CU17026369852041,皮小姐,女,25,100000006,13083675014,江西省,依安县
CU17026861095372,谢小姐,女,45,100000008,15549130256,陕西省,左云县
CU17021235847960,宋小姐,女,36,100000003,13414560987,湖南省,香河县
CU17012281945067,喻女士,女,40,100000005,18519820645,安徽省,延庆区
CU17011589423701,萧先生,男,41,100000008,13502487193,山东省,青县
CU17028137529068,窦小姐,女,38,100000000,17321598360,北京市,偏关县
CU17013987201354,项小姐,女,42,100000002,18257438019,四川省,古交市
CU17027298756340,袁小姐,女,21,100000005,18385461709,山西省,北镇市
CU17022805974162,伏小姐,女,49,100000002,17686352174,广东省,望花区
CU17011395078124,倪女士,女,22,100000005,15684657091,四川省,新河县
CU17020193720846,何女士,女,39,100000008,18886072954,澳门特别行政区,左云县
CU17018029613758,花女士,女,37,100000007,17637095241,山东省,老边区
CU17016843529761,元先生,男,60,100000001,13984915276,宁夏回族自治区,神池县
CU17013324506817,酆小姐,女,39,100000004,17474301625,海南省,镇赉县
CU17023908723165,俞先生,男,33,100000007,18317326405,福建省,友谊县
CU17021629745038,倪女士,女,27,100000005,15863190257,重庆市,怀柔区
CU17026304567892,姚先生,男,33,100000001,18958690347,陕西省,莲池区
CU17019906542871,平小姐,女,29,100000007,18720584739,湖南省,江源区
CU17022493875201,祁小姐,女,49,100000005,15954170286,福建省,扎赉诺尔区
CU17012967352840,韦先生,男,27,100000008,18862075983,北京市,白云鄂博矿区
CU17012084126973,邹小姐,女,38,100000004,18281375260,天津市,文圣区
CU17024218053497,谢小姐,女,57,100000006,18023749658,山东省,牙克石市
CU17026857426091,屈女士,女,41,100000007,13018752460,内蒙古自治区,滨海新区
CU17019492783160,孔小姐,女,54,100000008,17720459317,四川省,朝阳县
CU17021859476201,滕女士,女,42,100000000,15784629017,云南省,长岭县
CU17026290541738,沈小姐,女,48,100000003,17894057831,湖北省,城区
CU17025863549721,宋女士,女,47,100000007,17456187493,海南省,南宫市
CU17024036794128,奚女士,女,39,100000001,13353479861,上海市,庄河市
CU17024893725140,金先生,男,26,100000001,13745679013,辽宁省,磴口县
CU17021074392618,杨女士,女,25,100000008,13390617425,广东省,临县
CU17020682495703,邬女士,女,39,100000004,17992504173,四川省,吉林市
CU17018349250618,姚先生,男,58,100000008,15708534297,海南省,山西省
CU17023254316078,姚女士,女,51,100000002,13752041698,湖南省,兴城市
CU17023791260385,郎小姐,女,23,100000000,15598420615,山东省,沁水县
CU17017829701643,苏女士,女,54,100000008,15794783601,天津市,萝北县
CU17022803462917,陈女士,女,32,100000008,13823956047,河北省,呼伦贝尔市
CU17028129807463,伏先生,男,28,100000009,15987521340,湖南省,龙港区
CU17022739185206,尤女士,女,27,100000009,17308479321,陕西省,锦州市
CU17015934712580,董小姐,女,33,100000006,13767235481,湖北省,黄骅市
CU17027476098253,酆先生,男,24,100000008,14743825901,香港特别行政区,绿园区
CU17012432175908,钱先生,男,36,100000005,18658962347,安徽省,赤城县
CU17019506291837,奚女士,女,31,100000008,15579832514,台湾省,友谊县
CU17022954017362,余女士,女,52,100000003,13028546379,陕西省,准格尔旗
CU17013618973245,冯小姐,女,51,100000000,18258067314,重庆市,河北省
CU17020152980374,曹先生,男,35,100000009,17867938241,广东省,凉城县
CU17028834156970,茅小姐,女,53,100000002,15193687251,甘肃省,皇姑区
CU17014312964805,吴小姐,女,26,100000007,17751768023,上海市,桥西区
CU17019489107625,舒女士,女,23,100000001,17870386194,浙江省,太仆寺旗
CU17014036472819,余小姐,女,28,100000008,17275628491,广西壮族自治区,唐山市
CU17027342950167,酆小姐,女,42,100000006,17942356790,香港特别行政区,依兰县
CU17026869457302,安先生,男,60,100000009,15171682495,浙江省,宁河区
CU17021153279604,祝先生,男,33,100000000,17295724016,湖北省,五营区
CU17011412970836,齐先生,男,26,100000007,15398610472,澳门特别行政区,开平区
CU17024364215870,何小姐,女,29,100000000,17142753168,贵州省,定襄县
